value,hits,bytes,cost,Price,id
EZLivingInteriors_-_Kendal3SeaterBlue.usdz,3953,8860732740,0.7093,599.0,recQq71O4qbxUg6Gd
EZLivingInteriors_-_JunoLeft.usdz,3214,19617791252,1.6771,1199.0,recSKxvnsUJjtA4wb
EZLivingInteriors_-_JunoRight.usdz,2933,17282730473,1.4668,1199.0,recxp7mQhvzggsCol
EZLivingInteriors_-_PrimroseBlue.usdz,2667,3029433224,0.1839,59.0,recDXkDFGRiyecDxx
PrimroseBlushPink.usdz,2631,2862377343,0.1689,,rec2qhsdg4c1j3iwA
EZLivingInteriors-MustardHexagonTable.usdz,2543,1540965118,0.0499,35.0,reci8TSoeMGFbngcz
EZLivingInteriors_-_PrimroseGrey.usdz,2535,2630636363,0.14800000000000002,59.0,recm1I6KJaAVsLPUm
PrimroseNavy.usdz,2500,2431601060,0.13,59.0,recoRNw3SFWL9tBcu
PrimroseLightBrown.usdz,2497,2481467844,0.1345,59.0,recoW0qwEwbJnwAFh
Farrow2Seater.usdz,2315,2840165080,0.1667,499.0,recFT1Wj6EngKfrzW
EZLivingInteriors-Waldorf3Seater.usdz,2015,5085647142,0.3687,499.0,recLuB5DTzbfnw2al
-',1836,1723053,0.0009,,recCTX8J26kijYRA5
MarlowVelvetGreen.usdz,1441,1601644349,0.0548,149.0,recM2sn9SwwY1boCX
MarlowVelvetCharcoal.usdz,1432,1573213904,0.0523,149.0,rec6eMCkZAtuMsSzI
EZLivingInteriors-Scott25Leather.usdz,1331,3513409852,0.2268,1399.0,recsLnB1XGuAIFh9Y
EZLivingInteriors-GreyHexagonTable.usdz,1178,927992276,0.0006,35.0,recSN3WCOefSPSNCZ
MarlowVelvetNavy.usdz,1117,1373428896,0.0341,149.0,recsHOewzJgAhr1F0
MarlowVelvetPink.usdz,1079,1276598224,0.0254,149.0,recAvAG7BxjTBc5G9
MarlowFabricDarkWood.usdz,1060,1947472300,0.0858,,recj4y5YoAhrTrCuk
RugPowder.usdz,970,3101756543,0.1896,319.0,recFYMOWcQ5r4TFL7
EZLivingInteriors-MontreuxGreyX.usdz,867,1633507402,0.0574,,recaxbpNEtntYU5xX
LoireOvalTableOpen.usdz,797,1303395394,0.0277,799.0,rec1OVdMdof7cc1Or
EZLiving_-_CaliaDiningTable.usdz,683,662301191,0.0003,699.0,recDGtSNg5OsNOLt9
EZLivingInteriors_-_Scott2SeaterGreen.usdz,627,1989244228,0.0893,999.0,recBPn82wycbTEUPD
Brighton2SeaterGrey.usdz,567,1350343584,0.0318,,recaNHwTbTtsPMoVS
Loire2DrawerBedsideTable.usdz,565,430422062,0.0003,179.0,recGVRPamZdfUiTQ9
Brighton2SeaterPink.usdz,550,1174685929,0.016,,reczzIyMP60ff7V3v
EZLivingInteriors-Scott3Leather.usdz,550,2272172497,0.1148,,recWwamAv6niJqpNp
PanamaLampTableWhite.usdz,524,315596047,0.0002,159.0,recIfAkfvEpqIy8GJ
PanamaDiningTableOpen.usdz,519,285197914,0.0002,599.0,recqYwnZxACxbayiB
Planet.usdz,511,403039358,0.0002,599.0,recaH4e0fwYwKLdhY
EZLivingInteriors-Waldorf2Seater.usdz,477,1275948086,0.0251,439.0,rec0SCkxBJefA58tf
West%2BElm%2BThree%2BSeater.glb,461,3131520061,0.1921,,recI5MCmlqiRbPwpH
Brighton3SeaterPink.usdz,416,949647553,0.0002,599.0,recEAIPbvYA9g59cq
EZLivingInteriors_-_InspireLeftGrey.usdz,339,2421420758,0.1281,799.0,rec3B7dYNIjbagwB2
RugAbstractGrey.usdz,314,1029715868,0.0028,319.0,reclGFCuo9CyZoqLB
EZLiving_-_ChelseaBarStoolBlue.usdz,287,1019963147,0.0019,229.0,rec1EKa1uAUoM3XUF
EZLivingInteriors_-_InspireRightLightGrey.usdz,260,2920319389,0.173,799.0,recXjujC042VxuD9z
EZLivingInteriors-SofiaFootstoolPink.usdz,218,450608382,0.0001,149.0,recc1W4Q5kLoaAvPQ
EZLivingInteriors-SofiaFootstoolGreen.usdz,213,439751236,0.0001,149.0,rec4dem1SqLDpJP6a
EZLivingInteriors-SofiaFootstoolBlue.usdz,211,466755546,0.0001,149.0,recehNKBgPzVjK5fW
EZLivingInteriors-SofiaFootstoolCharcoal.usdz,209,425726300,0.0001,149.0,recnL70cphVhVaNMR
EZLivingInteriors_-_Kendal2SeaterBlue.usdz,197,1190775370,0.0173,499.0,rec0uOI9SIQ6i05fX
Mustard%2BTable.glb,169,426987711,0.0001,,recACDFE4hfBnvgmk
EZLivingInteriors_-_Kendal3SeaterGrey.usdz,168,1629612344,0.0567,499.0,rechUCkdFxlIacavv
EZLivingInteriors_-_InspireLeftLightGrey.usdz,163,1776507423,0.07,799.0,recqLUqRGxR7T9K1L
Brighton3SeaterGrey.usdz,145,777207029,0.0001,599.0,rec5EWqqLZUdxrFNb
EZLivingInteriors_-_Kendal2SeaterGrey.usdz,142,2440241645,0.1297,499.0,rec6pyVyWj7fD3gfz
EZLivingInteriors-ClaraCornerLeft.usdz,142,2169705427,0.1053,1099.0,recMRS56GsKRbYQJ2
EZLivingInteriors_-_InspireRightGrey.usdz,139,1941491498,0.0848,799.0,recNZneZrghNKYvKJ
EZLivingInteriors_-_KendalArmchairBlue.usdz,137,668061725,0.0001,399.0,recJJp0ydSBmbSUzc
wind02.glb,134,316170755,0.0001,549.0,recwsOMLkPprf2a7E
EZLivingInteriors_-_ScottCornerGreenLeft.usdz,120,730380562,0.0001,1799.0,recCluf0xbkylYwyA
EZLivingInteriors-CharmLeftCorner.usdz,118,2138403388,0.1025,1199.0,recGLsWgRQ30u75Pv
EZLivingInteriors-ClaraCornerRight.usdz,117,1836978029,0.0754,1099.0,recMzw4ll0tQVuDEA
Taylor2Seater.usdz,114,465890036,0.0001,399.0,recLel0rCL3BPrjku
EZLivingInteriors-KarmaRightBlack.usdz,111,686326725,0.0001,999.0,recDH5kHtriRMAxzb
PanamaConsoleTableWhite.usdz,106,89769492,0.0001,179.0,recKXfHvh88prNGEo
EZLivingInteriors-Brinley_25L_15RTurquoise.usdz,106,337878523,0.0001,1199.0,recS7xkMxBc7SPR0l
EminenceCeramicStoneSingleOpen.usdz,106,136783208,0.0001,1099.0,recYwNo02rs5S6Yko
EZLivingInteriors_-_BellaChairGreen.usdz,106,512556618,0.0001,349.0,recOQCMdEdNg8Fich
Farrow3Seater.usdz,105,351989715,0.0,599.0,recLhQ1Ta8Iq4QpG8
EZLivingInteriors-CharmRightCorner.usdz,105,1916752407,0.0826,1199.0,recTnfQHaW9xBMKAb
EZLivingInteriors_-_ScottCornerGreenRight.usdz,103,619459071,0.0,1799.0,rec4DayutY6cvqKZy
EZLivingInteriors_-_Scott2SeaterBlack.usdz,101,528218888,0.0,999.0,rec6WhGrBYcF6zSQJ
EZLivingInteriors_-_KendalArmchairFootrestBlue.usdz,100,540236636,0.0,399.0,recVrph8E84oqM1MI
CassieSofabedOpen.usdz,99,472984380,0.0,749.0,rec7qniRViRWieecF
EZLivingInteriors_-_Inspire3Seater.usdz,98,1031458405,0.0029,599.0,recF0gJCtbraYctAM
MarlowFabricLightWood.usdz,95,432153182,0.0,149.0,rec2wq3exgdJuY4De
EZLivingInteriors-CharmCuddlerArmchair.usdz,94,1476551909,0.0429,499.0,recKI68XW5VERoU3r
EZLivingInteriors_-_AnnekaBlue.usdz,94,1166592093,0.015,499.0,recr65UWZQe65atmn
EZLivingInteriors_-_NattySofa.usdz,91,1184132022,0.0166,999.0,recRUd9c9dVNKvFvD
