value,hits,bytes,cost,Price,dup
EZLivingInteriors_-_Kendal3SeaterBlue.usdz,3953,8860732740,0.7093,599.0,False
EZLivingInteriors_-_JunoLeft.usdz,3214,19617791252,1.6771,1199.0,False
EZLivingInteriors_-_JunoRight.usdz,2933,17282730473,1.4668,1199.0,False
EZLivingInteriors_-_PrimroseBlue.usdz,2667,3029433224,0.1839,59.0,False
PrimroseBlushPink.usdz,2631,2862377343,0.1689,,False
EZLivingInteriors-MustardHexagonTable.usdz,2543,1540965118,0.0499,35.0,False
EZLivingInteriors_-_PrimroseGrey.usdz,2535,2630636363,0.14800000000000002,59.0,False
PrimroseNavy.usdz,2500,2431601060,0.13,59.0,False
PrimroseLightBrown.usdz,2497,2481467844,0.1345,59.0,False
Farrow2Seater.usdz,2315,2840165080,0.1667,499.0,False
EZLivingInteriors-Waldorf3Seater.usdz,2015,5085647142,0.3687,499.0,False
-',1836,1723053,0.0009,,False
MarlowVelvetGreen.usdz,1441,1601644349,0.0548,149.0,False
MarlowVelvetCharcoal.usdz,1432,1573213904,0.0523,149.0,False
EZLivingInteriors-Scott25Leather.usdz,1331,3513409852,0.2268,1399.0,False
EZLivingInteriors-GreyHexagonTable.usdz,1178,927992276,0.0006,35.0,False
MarlowVelvetNavy.usdz,1117,1373428896,0.0341,149.0,False
MarlowVelvetPink.usdz,1079,1276598224,0.0254,149.0,False
MarlowFabricDarkWood.usdz,1060,1947472300,0.0858,,False
RugPowder.usdz,970,3101756543,0.1896,319.0,False
EZLivingInteriors-MontreuxGreyX.usdz,867,1633507402,0.0574,,False
LoireOvalTableOpen.usdz,797,1303395394,0.0277,799.0,False
EZLiving_-_CaliaDiningTable.usdz,683,662301191,0.0003,699.0,False
EZLivingInteriors_-_Scott2SeaterGreen.usdz,627,1989244228,0.0893,999.0,False
Brighton2SeaterGrey.usdz,567,1350343584,0.0318,,False
Loire2DrawerBedsideTable.usdz,565,430422062,0.0003,179.0,False
Brighton2SeaterPink.usdz,550,1174685929,0.016,,False
EZLivingInteriors-Scott3Leather.usdz,550,2272172497,0.1148,,False
PanamaLampTableWhite.usdz,524,315596047,0.0002,159.0,False
PanamaDiningTableOpen.usdz,519,285197914,0.0002,599.0,False
Planet.usdz,511,403039358,0.0002,599.0,False
EZLivingInteriors-Waldorf2Seater.usdz,477,1275948086,0.0251,439.0,False
West%2BElm%2BThree%2BSeater.glb,461,3131520061,0.1921,,False
Brighton3SeaterPink.usdz,416,949647553,0.0002,599.0,False
EZLivingInteriors_-_InspireLeftGrey.usdz,339,2421420758,0.1281,799.0,False
RugAbstractGrey.usdz,314,1029715868,0.0028,319.0,False
EZLiving_-_ChelseaBarStoolBlue.usdz,287,1019963147,0.0019,229.0,False
EZLivingInteriors_-_InspireRightLightGrey.usdz,260,2920319389,0.173,799.0,False
EZLivingInteriors-SofiaFootstoolPink.usdz,218,450608382,0.0001,149.0,False
EZLivingInteriors-SofiaFootstoolGreen.usdz,213,439751236,0.0001,149.0,False
EZLivingInteriors-SofiaFootstoolBlue.usdz,211,466755546,0.0001,149.0,False
EZLivingInteriors-SofiaFootstoolCharcoal.usdz,209,425726300,0.0001,149.0,False
EZLivingInteriors_-_Kendal2SeaterBlue.usdz,197,1190775370,0.0173,499.0,False
Mustard%2BTable.glb,169,426987711,0.0001,,False
EZLivingInteriors_-_Kendal3SeaterGrey.usdz,168,1629612344,0.0567,499.0,False
EZLivingInteriors_-_InspireLeftLightGrey.usdz,163,1776507423,0.07,799.0,False
Brighton3SeaterGrey.usdz,145,777207029,0.0001,599.0,False
EZLivingInteriors_-_Kendal2SeaterGrey.usdz,142,2440241645,0.1297,499.0,False
EZLivingInteriors-ClaraCornerLeft.usdz,142,2169705427,0.1053,1099.0,False
EZLivingInteriors_-_InspireRightGrey.usdz,139,1941491498,0.0848,799.0,False
EZLivingInteriors_-_KendalArmchairBlue.usdz,137,668061725,0.0001,399.0,False
wind02.glb,134,316170755,0.0001,549.0,False
EZLivingInteriors_-_ScottCornerGreenLeft.usdz,120,730380562,0.0001,1799.0,False
EZLivingInteriors-CharmLeftCorner.usdz,118,2138403388,0.1025,1199.0,False
EZLivingInteriors-ClaraCornerRight.usdz,117,1836978029,0.0754,1099.0,False
Taylor2Seater.usdz,114,465890036,0.0001,399.0,False
EZLivingInteriors-KarmaRightBlack.usdz,111,686326725,0.0001,999.0,False
PanamaConsoleTableWhite.usdz,106,89769492,0.0001,179.0,False
EZLivingInteriors-Brinley_25L_15RTurquoise.usdz,106,337878523,0.0001,1199.0,False
EminenceCeramicStoneSingleOpen.usdz,106,136783208,0.0001,1099.0,False
