value,hits,bytes,cost,Price
Kendal/EZLivingInteriors_-_Kendal3SeaterBlue.usdz',3953,8860732740,0.7093,599
Juno/EZLivingInteriors_-_JunoLeft.usdz',3214,19617791252,1.6771,1199
Juno/EZLivingInteriors_-_JunoRight.usdz',2933,17282730473,1.4668,1199
Primrose/EZLivingInteriors_-_PrimroseBlue.usdz',2667,3029433224,0.1839,59
Primrose/PrimroseBlushPink.usdz',2631,2862377343,0.1689,
GeometricTables/EZLivingInteriors-MustardHexagonTable.usdz',2543,1540965118,0.0499,35
Primrose/EZLivingInteriors_-_PrimroseGrey.usdz',2535,2630636363,0.148,59
Primrose/PrimroseNavy.usdz',2500,2431601060,0.13,59
Primrose/PrimroseLightBrown.usdz',2497,2481467844,0.1345,59
Farrow/Farrow2Seater.usdz',2315,2840165080,0.1667,499
Waldorf/EZLivingInteriors-Waldorf3Seater.usdz',2015,5085647142,0.3687,499
-',1836,1723053,0.0009,
Marlow/MarlowVelvetGreen.usdz',1441,1601644349,0.0548,149
Marlow/MarlowVelvetCharcoal.usdz',1432,1573213904,0.0523,149
Scott/EZLivingInteriors-Scott25Leather.usdz',1331,3513409852,0.2268,1399
GeometricTables/EZLivingInteriors-GreyHexagonTable.usdz',1178,927992276,0.0006,35
Marlow/MarlowVelvetNavy.usdz',1117,1373428896,0.0341,149
Marlow/MarlowVelvetPink.usdz',1079,1276598224,0.0254,149
Marlow/MarlowFabricDarkWood.usdz',1060,1947472300,0.0858,
Rug/RugPowder.usdz',970,3101756543,0.1896,319
Montreux/EZLivingInteriors-MontreuxGreyX.usdz',867,1633507402,0.0574,
Loire/LoireOvalTableOpen.usdz',797,1303395394,0.0277,799
Calia/EZLiving_-_CaliaDiningTable.usdz',683,662301191,0.0003,699
Scott/EZLivingInteriors_-_Scott2SeaterGreen.usdz',627,1989244228,0.0893,999
Brighton/Brighton2SeaterGrey.usdz',567,1350343584,0.0318,
Loire/Loire2DrawerBedsideTable.usdz',565,430422062,0.0003,179
Brighton/Brighton2SeaterPink.usdz',550,1174685929,0.016,
Scott/EZLivingInteriors-Scott3Leather.usdz',550,2272172497,0.1148,
Panama/PanamaLampTableWhite.usdz',524,315596047,0.0002,159
Panama/PanamaDiningTableOpen.usdz',519,285197914,0.0002,599
Planet/Planet.usdz',511,403039358,0.0002,599
Waldorf/EZLivingInteriors-Waldorf2Seater.usdz',477,1275948086,0.0251,439
MV%2BTest/West%2BElm%2BThree%2BSeater.glb',461,3131520061,0.1921,
Brighton/Brighton3SeaterPink.usdz',416,949647553,0.0002,599
Inspire/EZLivingInteriors_-_InspireLeftGrey.usdz',339,2421420758,0.1281,799
Rug/RugAbstractGrey.usdz',314,1029715868,0.0028,319
Chelsea/EZLiving_-_ChelseaBarStoolBlue.usdz',287,1019963147,0.0019,229
Inspire/EZLivingInteriors_-_InspireRightLightGrey.usdz',260,2920319389,0.173,799
Sofia/EZLivingInteriors-SofiaFootstoolPink.usdz',218,450608382,0.0001,149
Sofia/EZLivingInteriors-SofiaFootstoolGreen.usdz',213,439751236,0.0001,149
Sofia/EZLivingInteriors-SofiaFootstoolBlue.usdz',211,466755546,0.0001,149
Sofia/EZLivingInteriors-SofiaFootstoolCharcoal.usdz',209,425726300,0.0001,149
Kendal/EZLivingInteriors_-_Kendal2SeaterBlue.usdz',197,1190775370,0.0173,499
glb/Mustard%2BTable.glb',169,426987711,0.0001,
Kendal/EZLivingInteriors_-_Kendal3SeaterGrey.usdz',168,1629612344,0.0567,499
Inspire/EZLivingInteriors_-_InspireLeftLightGrey.usdz',163,1776507423,0.07,799
Brighton/Brighton3SeaterGrey.usdz',145,777207029,0.0001,599
Kendal/EZLivingInteriors_-_Kendal2SeaterGrey.usdz',142,2440241645,0.1297,499
Clara/EZLivingInteriors-ClaraCornerLeft.usdz',142,2169705427,0.1053,1099
Inspire/EZLivingInteriors_-_InspireRightGrey.usdz',139,1941491498,0.0848,799
Kendal/EZLivingInteriors_-_KendalArmchairBlue.usdz',137,668061725,0.0001,399
Adam/wind02.glb',134,316170755,0.0001,549
Scott/EZLivingInteriors_-_ScottCornerGreenLeft.usdz',120,730380562,0.0001,1799
Charm/EZLivingInteriors-CharmLeftCorner.usdz',118,2138403388,0.1025,1199
Clara/EZLivingInteriors-ClaraCornerRight.usdz',117,1836978029,0.0754,1099
Taylor/Taylor2Seater.usdz',114,465890036,0.0001,399
Karma/EZLivingInteriors-KarmaRightBlack.usdz',111,686326725,0.0001,999
Panama/PanamaConsoleTableWhite.usdz',106,89769492,0.0001,179
Brinley/EZLivingInteriors-Brinley_25L_15RTurquoise.usdz',106,337878523,0.0001,1199
Eminence/EminenceCeramicStoneSingleOpen.usdz',106,136783208,0.0001,1099
Bella/EZLivingInteriors_-_BellaChairGreen.usdz',106,512556618,0.0001,349
Farrow/Farrow3Seater.usdz',105,351989715,0,599
Charm/EZLivingInteriors-CharmRightCorner.usdz',105,1916752407,0.0826,1199
Scott/EZLivingInteriors_-_ScottCornerGreenRight.usdz',103,619459071,0,1799
Scott/EZLivingInteriors_-_Scott2SeaterBlack.usdz',101,528218888,0,999
Kendal/EZLivingInteriors_-_KendalArmchairFootrestBlue.usdz',100,540236636,0,399
Cassie/CassieSofabedOpen.usdz',99,472984380,0,749
Inspire/EZLivingInteriors_-_Inspire3Seater.usdz',98,1031458405,0.0029,599
Marlow/MarlowFabricLightWood.usdz',95,432153182,0,149
Charm/EZLivingInteriors-CharmCuddlerArmchair.usdz',94,1476551909,0.0429,499
Anneka/EZLivingInteriors_-_AnnekaBlue.usdz',94,1166592093,0.015,499
Natty/EZLivingInteriors_-_NattySofa.usdz',91,1184132022,0.0166,999
Scott/EZLivingInteriors_-_ScottCornerBlackRight.usdz',91,471090316,0,1799
Frame/FrameGreen.usdz',91,172068843,0,
Bella/EZLivingInteriors_-_BellaChairBlue.usdz',87,412901015,0,349
Sofia/EZLivingInteriors-SofiaChairPink.usdz',86,315499243,0,308
Harris/HarrisGreen.usdz',85,157574785,0,349
Clara/EZLivingInteriors-ClaraFootstool.usdz',85,471497639,0,269
Anneka/EZLivingInteriors_-_AnnekaGreen.usdz',85,997113852,0,499
Scott/EZLivingInteriors_-_ScottCornerBlackLeft.usdz',85,444157537,0,1799
Clara/EZLivingInteriors-Clara3Seater.usdz',84,1449309000,0.0405,749
Calia/EZLiving_-_CaliaSofaTable.usdz',82,94228052,0,129
Charm/EZLivingInteriors-Charm3Seater.usdz',81,1365237201,0.0329,749
Clara/EZLivingInteriors-Clara2Seater.usdz',80,1407429785,0.0367,649
Panama/EZLiving_-_PanamaBlue.usdz',80,639046695,0,
Harris/HarrisPink.usdz',79,162284744,0,349
Brighton/BrightonArmchairGrey.usdz',78,400602844,0,
Inspire/EZLivingInteriors_-_Inspire2Seater.usdz',78,802168012,0,499
Laura/Laura3Seater.usdz',77,314796526,0,399
Natty/EZLivingInteriors_-_NattyLoveseat.usdz',76,990361856,0,899
Charm/EZLivingInteriors-Charm2Seater.usdz',75,1282116281,0.0254,649
Adam/EZLivingInteriors-AdamBed4%25276%2522.usdz',75,158668339,0,349
Adam/EZLivingInteriors-Adam3Drawer.usdz',74,33981552,0,199
Sofia/EZLivingInteriors-SofiaChairBlue.usdz',73,268423345,0,308
Calia/EZLivingInteriors_-_CaliaConsoleTable.usdz',73,273862995,0,299
Cheltenham/EZLivingInteriors-CheltenhamBedsideLocker.usdz',73,131316500,0,179
Godwin/EZLivingInteriors_-_GodwinTurquoise.usdz',72,914257298,0,299
Panama/EZLiving_-_PanamaCharcoal.usdz',72,524142541,0,299
Taylor/Taylor3Seater.usdz',72,454199262,0,1297
glb/Model01GreenVelvet.glb',72,284048674,0,
Rug/RugLightBlue.usdz',71,638524155,0,319
Kendal/EZLivingInteriors_-_KendalArmchairGrey.usdz',71,534784989,0,399
Clara/EZLivingInteriors-ClaraWingedAccentChair.usdz',71,1089146855,0.0081,499
Kendal/EZLivingInteriors_-_KendalArmchairFootrestGrey.usdz',70,537626571,0,399
Harris/HarrisTurquoise.usdz',70,131676230,0,299
Sofia/EZLivingInteriors-SofiaChairCharcoal.usdz',70,287362981,0,308
Emily/Emily46Bed.usdz',70,363183810,0,299
Zelda/EZLivingInteriors_-_ZeldaOrange.usdz',69,2116685999,0.1005,399
Eminence/EminenceCeramicStoneDoubleOpen.usdz',68,85222088,0,1099
Emily/Emily6DrawerDresser.usdz',68,38415308,0,299
Panama/PanamaConsoleTableGrey.usdz',68,60715519,0,179
Panama/EZLiving_-_PanamaPink.usdz',68,606096403,0,299
Calia/EZLivingInteriors_-_CaliaEntertainmentUnit.usdz',67,505243782,0,599
Godwin/EZLivingInteriors_-_GodwinNavy.usdz',67,806545711,0,349
Brighton/BrightonArmchairPink.usdz',66,313681276,0,
Charm/EZLivingInteriors-CharmBenchFootstool.usdz',66,754883607,0,269
